,Loudness,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,ZCR,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Mel_Spectrogram_1,Mel_Spectrogram_2,Mel_Spectrogram_3,Mel_Spectrogram_4,Mel_Spectrogram_5,Mel_Spectrogram_6,Mel_Spectrogram_7,Mel_Spectrogram_8,Mel_Spectrogram_9,Mel_Spectrogram_10,Mel_Spectrogram_11,Mel_Spectrogram_12
0,0.000635757972308955,-543.41766,-487.9273,-462.4311,-450.32568,-436.16733,-422.04694,-398.0784,-373.79208,-369.02435,-341.53003,-314.73108,-311.4173,0.16845703125,0.99789494,0.818582,0.62063915,0.373221,0.36115134,0.38866225,0.26538768,0.2544883,0.28018242,0.43967074,1.0,0.7845625,0.00012256423,0.0002814536,0.00019908213,0.0001034261,0.00046793994,0.00082096166,0.0004102535,0.00020129993,0.00025327166,0.010844648,0.25274035,0.639607
1,0.0014255958978704908,-10.929953,-42.948753,-65.99481,-77.79936,-78.76143,-77.083435,-68.29109,-61.709557,-61.411095,-27.866213,24.168594,78.29767,0.30908203125,0.5759135,0.6139471,0.5412634,0.38913256,0.480563,0.50357187,0.304022,0.31606904,0.31619906,0.3623989,0.3784753,1.0,2.3789507e-05,4.045449e-05,4.409145e-05,3.051974e-05,2.5433317e-05,3.258754e-05,9.348438e-05,0.0001611231,0.0001806257,0.00085482164,0.1383946,1.3490218
2,0.0020380054727327725,34.802727,31.962296,30.264172,25.911896,23.591274,22.922405,23.5637,20.122643,16.960035,31.928185,36.96218,5.9781685,0.45703125,0.30392927,0.378356,0.34143603,0.37729436,0.5058483,0.55782914,0.30392763,0.31730106,0.41380164,0.41084635,0.06431774,0.17368491,5.571821e-06,1.3152674e-05,1.7737964e-05,3.1292657e-05,4.303679e-05,4.0901035e-05,9.078153e-05,0.00020852493,0.00018485388,0.00040537756,0.013864438,0.28902173
3,0.0025355485775892103,42.172367,27.62289,13.269439,2.2326288,0.33012837,2.7468667,-0.10754183,-5.8935943,-6.256651,8.758387,11.938786,-7.881699,0.48486328125,0.24470362,0.35821122,0.39289504,0.368756,0.43756083,0.6385915,0.34553504,0.21491994,0.24937016,0.28786567,0.019764882,0.007028252,3.8094154e-06,1.4393833e-05,2.9536683e-05,2.9855319e-05,4.9480495e-05,5.81715e-05,0.00021269904,0.0005730368,0.00048788087,0.000598492,0.0014181052,0.011975996
4,0.003152628046941149,-2.0844707,-13.006627,-18.912136,-19.949638,-13.008187,-7.8612013,-14.12558,-17.87032,-12.700502,-2.071247,-0.8389944,3.3737204,0.509765625,0.37859306,0.60080975,0.5918233,0.51332414,0.647899,0.7575645,0.369648,0.20005196,0.21229173,0.27128124,0.018044341,0.005965506,6.0091706e-06,1.499175e-05,2.4876279e-05,3.0166264e-05,4.431213e-05,6.794925e-05,0.00011045108,0.00021472032,0.00022990066,0.00032195836,0.0006707239,0.007649192
5,0.00374239214901298,29.374031,28.699121,26.045988,19.62611,20.89339,20.866407,16.25774,15.176958,19.121824,18.04243,5.9926734,-1.9092851,0.50732421875,0.32438868,0.43560323,0.6470213,1.0,1.0,0.899827,0.7152577,0.5828446,0.6593815,0.69088465,0.025123471,0.0042811525,7.232279e-06,2.4307185e-05,5.7055182e-05,6.884493e-05,8.189511e-05,0.0001177268,0.00020312134,0.0003593601,0.00053077104,0.0009869118,0.0023906685,0.012726833
6,0.004123140072867595,-1.3256658,-2.034667,-7.2706666,-10.933611,-6.4134254,-6.536338,-7.943506,-6.707099,-7.522132,-9.875839,-24.018063,-41.863213,0.50634765625,0.48450303,0.43876556,0.6593403,0.8886992,0.73880804,0.71047693,0.9906891,1.0,1.0,1.0,0.0397465,0.0021609361,7.6065426e-06,1.820961e-05,2.60506e-05,4.1459723e-05,7.9660815e-05,0.00011768392,0.00018657328,0.00031208817,0.0003549514,0.0005846194,0.0008458424,0.00447803
7,0.004562121562708149,-0.9314111,-3.7103348,-4.6579523,1.4275502,10.070894,8.337433,10.672802,14.581993,11.290881,7.5571356,-8.118822,-10.095231,0.54052734375,0.8305918,0.7444049,1.0,0.9869199,0.808145,1.0,1.0,0.8671772,0.78028053,0.6764841,0.04094607,0.0151032545,1.3795894e-05,4.227985e-05,7.24487e-05,0.00011533643,0.00012844389,0.00016012356,0.00030771957,0.00051659136,0.00049563585,0.00074405246,0.0009450762,0.00088530895
8,0.004578324504681089,1.7411772,6.1473207,3.0259752,5.8563433,12.341166,9.459541,2.7953453,3.9764886,3.8069024,-2.5869126,-14.449878,-15.405861,0.56103515625,0.41950104,0.46370572,0.6061116,0.6236439,0.5847734,0.8600737,0.6797296,0.3973957,0.40597042,0.7532416,0.066907264,0.022287685,0.00013327009,0.0006114894,0.00096469995,0.0007531016,0.0007217512,0.00083360524,0.00143724,0.0021101304,0.0028624088,0.002877029,0.0019919612,0.0004801535
9,0.004443716063370179,9.922909,8.169569,4.8308387,8.7012825,8.917349,4.010985,-1.8069813,-3.4995985,-1.2830536,-0.6565593,-6.5359907,-7.009664,0.43994140625,0.29166457,0.29679576,0.32579815,0.35073856,0.36287144,0.4172429,0.2580411,0.23769696,0.41866183,0.77361983,0.13963398,0.017490586,8.402502e-05,0.0005425986,0.0014415722,0.0022042706,0.0027953314,0.0031510408,0.0044427416,0.0061646434,0.006083497,0.004549886,0.0020749916,0.0003742777
10,0.007763129659977978,0.038008094,-0.31497887,-0.6605717,5.576006,10.504073,6.961127,-0.56964034,-5.0501294,-7.343113,-11.51943,-16.158361,-16.67472,0.30517578125,0.5826885,0.5895208,0.449322,0.36097708,0.29460314,0.2924578,0.21578398,0.20999682,0.36916682,0.70262444,0.38619027,0.059989925,8.977523e-05,0.00051464414,0.0019159521,0.003473105,0.003862015,0.004829326,0.008740913,0.011809413,0.011082064,0.009407493,0.0043014265,0.0007347992
11,0.016969988527409212,14.125792,13.827928,7.39754,0.945289,6.431058,4.8852997,-0.18071473,0.10866141,0.9227624,-5.3862886,-6.720645,-1.3882637,0.17724609375,1.0,1.0,0.54785174,0.31943384,0.28810292,0.33930373,0.34878802,0.3146337,0.4567463,0.9039234,0.925028,0.2174426,1.9409632e-05,0.00014635445,0.00048929587,0.0010071563,0.0016155648,0.0020000206,0.0024970388,0.0035726116,0.0039753416,0.0034400295,0.0016437119,0.0003595035
12,0.02174833484141261,,,,,,,,,,,,,0.056640625,,,,,,,,,,,,,,,,,,,,,,,,
13,0.021621350088297086,,,,,,,,,,,,,0.05859375,,,,,,,,,,,,,,,,,,,,,,,,
14,0.021509209687215175,,,,,,,,,,,,,0.06201171875,,,,,,,,,,,,,,,,,,,,,,,,
15,0.014860872323007125,,,,,,,,,,,,,0.06005859375,,,,,,,,,,,,,,,,,,,,,,,,
16,0.01223128650851532,,,,,,,,,,,,,0.05615234375,,,,,,,,,,,,,,,,,,,,,,,,
17,0.012691712786106615,,,,,,,,,,,,,0.04736328125,,,,,,,,,,,,,,,,,,,,,,,,
18,0.014846106333583742,,,,,,,,,,,,,0.04052734375,,,,,,,,,,,,,,,,,,,,,,,,
19,0.01637091009373322,,,,,,,,,,,,,0.03759765625,,,,,,,,,,,,,,,,,,,,,,,,
20,0.015970978969327504,,,,,,,,,,,,,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,
21,0.014306949243536777,,,,,,,,,,,,,0.0341796875,,,,,,,,,,,,,,,,,,,,,,,,
22,0.010864198542551107,,,,,,,,,,,,,0.0341796875,,,,,,,,,,,,,,,,,,,,,,,,
23,0.009724639777702772,,,,,,,,,,,,,0.0322265625,,,,,,,,,,,,,,,,,,,,,,,,
24,0.007863309322553184,,,,,,,,,,,,,0.02978515625,,,,,,,,,,,,,,,,,,,,,,,,
25,0.004681299398514676,,,,,,,,,,,,,0.04443359375,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0026540010032622754,,,,,,,,,,,,,0.05029296875,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0024597912756704715,,,,,,,,,,,,,0.0517578125,,,,,,,,,,,,,,,,,,,,,,,,
28,0.005377464620653022,,,,,,,,,,,,,0.05712890625,,,,,,,,,,,,,,,,,,,,,,,,
29,0.008402832573728794,,,,,,,,,,,,,0.04638671875,,,,,,,,,,,,,,,,,,,,,,,,
30,0.009129785185116578,,,,,,,,,,,,,0.04345703125,,,,,,,,,,,,,,,,,,,,,,,,
31,0.008599315525632872,,,,,,,,,,,,,0.04443359375,,,,,,,,,,,,,,,,,,,,,,,,
32,0.009097843847530294,,,,,,,,,,,,,0.041015625,,,,,,,,,,,,,,,,,,,,,,,,
33,0.009400315055765343,,,,,,,,,,,,,0.03662109375,,,,,,,,,,,,,,,,,,,,,,,,
34,0.009569481921890242,,,,,,,,,,,,,0.033203125,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00841552045609934,,,,,,,,,,,,,0.0322265625,,,,,,,,,,,,,,,,,,,,,,,,
36,0.007733921695650367,,,,,,,,,,,,,0.033203125,,,,,,,,,,,,,,,,,,,,,,,,
37,0.007540301836573443,,,,,,,,,,,,,0.033203125,,,,,,,,,,,,,,,,,,,,,,,,
38,0.007984422004189492,,,,,,,,,,,,,0.03466796875,,,,,,,,,,,,,,,,,,,,,,,,
39,0.01153078746469706,,,,,,,,,,,,,0.03515625,,,,,,,,,,,,,,,,,,,,,,,,
40,0.015014894122928139,,,,,,,,,,,,,0.03564453125,,,,,,,,,,,,,,,,,,,,,,,,
41,0.015510532343475967,,,,,,,,,,,,,0.037109375,,,,,,,,,,,,,,,,,,,,,,,,
42,0.015924963518600864,,,,,,,,,,,,,0.03759765625,,,,,,,,,,,,,,,,,,,,,,,,
43,0.016498738988065254,,,,,,,,,,,,,0.03857421875,,,,,,,,,,,,,,,,,,,,,,,,
44,0.01761313353048483,,,,,,,,,,,,,0.0390625,,,,,,,,,,,,,,,,,,,,,,,,
45,0.01918443530484971,,,,,,,,,,,,,0.04052734375,,,,,,,,,,,,,,,,,,,,,,,,
46,0.020423524359550537,,,,,,,,,,,,,0.04052734375,,,,,,,,,,,,,,,,,,,,,,,,
47,0.02178805410229695,,,,,,,,,,,,,0.0400390625,,,,,,,,,,,,,,,,,,,,,,,,
48,0.023388904120421054,,,,,,,,,,,,,0.0390625,,,,,,,,,,,,,,,,,,,,,,,,
49,0.021167853776760667,,,,,,,,,,,,,0.03173828125,,,,,,,,,,,,,,,,,,,,,,,,
50,0.011478902642620695,,,,,,,,,,,,,0.0263671875,,,,,,,,,,,,,,,,,,,,,,,,
51,0.005936953447308353,,,,,,,,,,,,,0.02099609375,,,,,,,,,,,,,,,,,,,,,,,,
52,0.004894119262255257,,,,,,,,,,,,,0.01708984375,,,,,,,,,,,,,,,,,,,,,,,,
53,0.003468902331150539,,,,,,,,,,,,,0.01708984375,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0024108070913527453,,,,,,,,,,,,,0.01708984375,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0015805031417012259,,,,,,,,,,,,,0.01806640625,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0012381240945378584,,,,,,,,,,,,,0.02099609375,,,,,,,,,,,,,,,,,,,,,,,,
57,0.0007150571070479656,,,,,,,,,,,,,0.02001953125,,,,,,,,,,,,,,,,,,,,,,,,
58,0.0005928368700047698,,,,,,,,,,,,,0.01953125,,,,,,,,,,,,,,,,,,,,,,,,
59,0.0008369932023636814,,,,,,,,,,,,,0.01904296875,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0006376780239064795,,,,,,,,,,,,,0.01220703125,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0005235930928878445,,,,,,,,,,,,,0.01025390625,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00047465269579107194,,,,,,,,,,,,,0.00830078125,,,,,,,,,,,,,,,,,,,,,,,,
63,0.003953420961865827,,,,,,,,,,,,,0.01171875,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01935120612509537,,,,,,,,,,,,,0.0322265625,,,,,,,,,,,,,,,,,,,,,,,,
65,0.02929231985760665,,,,,,,,,,,,,0.05810546875,,,,,,,,,,,,,,,,,,,,,,,,
66,0.027821867325041636,,,,,,,,,,,,,0.078125,,,,,,,,,,,,,,,,,,,,,,,,
67,0.020958921606321602,,,,,,,,,,,,,0.0908203125,,,,,,,,,,,,,,,,,,,,,,,,
68,0.015509009107911038,,,,,,,,,,,,,0.0908203125,,,,,,,,,,,,,,,,,,,,,,,,
69,0.011698463757685022,,,,,,,,,,,,,0.08837890625,,,,,,,,,,,,,,,,,,,,,,,,
70,0.009947966183518165,,,,,,,,,,,,,0.08740234375,,,,,,,,,,,,,,,,,,,,,,,,
71,0.009052304743270147,,,,,,,,,,,,,0.09326171875,,,,,,,,,,,,,,,,,,,,,,,,
72,0.009193393501463958,,,,,,,,,,,,,0.0966796875,,,,,,,,,,,,,,,,,,,,,,,,
73,0.00958166984265515,,,,,,,,,,,,,0.09619140625,,,,,,,,,,,,,,,,,,,,,,,,
74,0.009394424526100103,,,,,,,,,,,,,0.09814453125,,,,,,,,,,,,,,,,,,,,,,,,
75,0.00709095840305848,,,,,,,,,,,,,0.09423828125,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0033915862038345207,,,,,,,,,,,,,0.09521484375,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0014519452655250209,,,,,,,,,,,,,0.08056640625,,,,,,,,,,,,,,,,,,,,,,,,
78,0.0005852224307548321,,,,,,,,,,,,,0.080078125,,,,,,,,,,,,,,,,,,,,,,,,
79,0.0009192901328081945,,,,,,,,,,,,,0.06884765625,,,,,,,,,,,,,,,,,,,,,,,,
80,0.000524619293732771,,,,,,,,,,,,,0.04345703125,,,,,,,,,,,,,,,,,,,,,,,,
81,0.0004318188967788076,,,,,,,,,,,,,0.04052734375,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0006475068496930045,,,,,,,,,,,,,0.04443359375,,,,,,,,,,,,,,,,,,,,,,,,
83,0.0006755544896407301,,,,,,,,,,,,,0.05224609375,,,,,,,,,,,,,,,,,,,,,,,,
84,0.0005393500965053759,,,,,,,,,,,,,0.0595703125,,,,,,,,,,,,,,,,,,,,,,,,
85,0.0005881582667531813,,,,,,,,,,,,,0.05224609375,,,,,,,,,,,,,,,,,,,,,,,,
86,0.0004908287566159655,,,,,,,,,,,,,0.02587890625,,,,,,,,,,,,,,,,,,,,,,,,
